Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
20,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,5,0.082633107,0.152652,0.847348,,9.194628496,0.334353,0.5023,5,3.11,3,1.86,4,3.670275,2.022918975,0.715278
21,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,5.5,0.090151468,0.165392,0.834608,,10.03554346,0.35589,0.55253,5.5,3.83,3,1.981,4,4.588984,2.171382341,0.675318397
22,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,6,0.097547596,0.177755,0.822245,,10.86393744,0.376076,0.60276,6,4.76,3,2.106,4,5.789033,2.326227621,0.634269079
23,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,7,0.111984886,0.201414,0.798586,,12.48454729,0.412876,0.70322,7,7.44,3,2.365,4,9.316472,2.652078895,0.550743553
24,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,8,0.125967519,0.223749,0.776251,,14.05914077,0.445577,0.803679,8,11.83,4,2.629,4,15.239932,2.991933522,0.468698769
25,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,9,0.139516638,0.244869,0.755131,,15.59032304,0.474828,0.904139,9,19.11,4,2.901,4,25.306896,3.349385764,0.390345904
26,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,10,0.152652097,0.264871,0.735129,,17.08046086,0.501147,1.0046,10,30.9,3,3.167,4,42.033443,3.708331389,0.319471248
27,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,11,0.165392555,0.28384,0.71616,,18.53158393,0.524954,1.105059,11,50.1,3,3.433,4,69.956442,4.075528472,0.256501184
28,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,12,0.177755565,0.301854,0.698146,,19.94568106,0.546592,1.205519,12,80.8,3,3.688,4,115.735231,4.43765114,0.202996204
29,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,13,0.189757655,0.318985,0.681015,,21.32472804,0.566344,1.305979,13,129.5,4,3.935,4,190.157448,4.797715746,0.158319047
30,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,14,0.201414404,0.335295,0.664705,,22.67030797,0.584448,1.40644,14,205,3,4.166,4,308.407707,5.145407772,0.122279484
31,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,15,0.212740504,0.350842,0.649158,,23.98403691,0.6011,1.5069,15,322,3,4.393,4,496.027605,5.494905395,0.093085766
32,10,HCIO4     ,100.46,1,1,H         ,ClO4      ,2,1,-1,298.15,Water,18.01528,16,0.223749827,0.365679,0.634321,,25.26744761,0.61647,1.60736,16,500,3,4.608,4,788.24448,5.835808793,0.070196207
0,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.1,0.001798288,0.00359,0.99641,,0.199633839,0.006261,0.0063,0.1,0.791,3,0.94,3,0.79385,0.941759524,0.996618729
1,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.2,0.003590121,0.007154,0.992846,,0.398534609,0.012445,0.012601,0.2,0.754,3,0.935,3,0.759433,0.938477681,0.993284649
2,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.3,0.005375531,0.010693,0.989307,,0.596747926,0.018552,0.018902,0.3,0.735,3,0.936,3,0.742945,0.941065421,0.989934005
3,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.4,0.007154555,0.014207,0.985793,,0.794263845,0.024584,0.025204,0.4,0.725,3,0.94,3,0.735449,0.946754374,0.986544348
4,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.5,0.008927227,0.017696,0.982304,,0.991072369,0.030542,0.031505,0.5,0.72,3,0.944,3,0.732971,0.952479835,0.983137786
5,11,HNO3      ,63.01,1,1,H         ,NO3       ,2,1,-1,298.15,Water,18.01528,0.6,0.010693579,0.02116,0.97884,,1.187163446,0.036428,0.037805,0.6,0.717,3,0.95,3,0.7325,0.960252554,0.979672448
